cluster,gene,p_val,p_val_adj,avg_log2FC,pct.1,pct.2
1,Gfra3,1.610359128537827e-11,4.2346003644030703e-7,1.4805748066610551,1,0.886
1,Aqp1,4.364078140793559e-11,1.1475779879030742e-6,1.1993190755459997,1,0.919
1,Npy1r,6.24924963454446e-11,1.643302683899811e-6,1.884571587405456,0.943,0.764
1,Ctnnd2,8.65360798415549e-11,2.275552755513528e-6,1.2731113299328953,1,0.984
1,Grxcr2,1.0728518243695753e-10,2.8211711573622354e-6,3.2326828875788367,0.971,0.724
1,Sh3bgrl,2.0234064429365556e-10,5.320749582345967e-6,0.9128661507619622,1,0.992
1,D430019H16Rik,4.0777816696178037e-10,1.0722934678426977e-5,1.1052123029381056,1,0.862
1,Cacna2d1,6.712089171998145e-10,1.765010968668632e-5,0.949712005513228,1,0.988
1,Negr1,1.0350999555370201e-9,2.721898843080148e-5,1.6527205173598332,1,0.87
1,Gabra3,1.904493409320513e-9,5.008055869149221e-5,1.50393846246179,0.943,0.691
1,Adcyap1,2.2683997457164817e-9,5.9649839713360604e-5,1.2071417470723418,1,0.951
1,Mfap5,2.611178026203034e-9,6.866353737703498e-5,1.3593942919848763,0.943,0.626
1,Kif22,3.500707568649449e-9,9.205460622520591e-5,1.303135509394628,1,0.931
1,Smad5,4.587734004901404e-9,1.2063905339288731e-4,1.1189258003720859,1,0.959
1,Vegfa,4.800332591123177e-9,1.2622954581617505e-4,0.9516688433895908,1,0.98
1,Krt36,6.994289705924306e-9,1.8392184210698555e-4,3.6205864104518777,0.229,0.016
1,Syt4,7.56187989584055e-9,1.988471937410231e-4,0.8079352174131458,1,0.996
1,Ptprt,7.979062408090369e-9,2.0981742508314433e-4,1.4511766410076277,1,0.862
1,Ildr2,7.992216306402061e-9,2.101633199931486e-4,1.5510581360273341,0.886,0.589
1,Svil,1.154720395071988e-8,3.0364527508812997e-4,1.4027405178602423,1,0.841
1,Cd44,1.1957720726563915e-8,3.144402242257247e-4,0.8427963881849623,1,0.98
1,Plpp4,1.2178717531784958e-8,3.2025155621581724e-4,1.0508212310428542,1,0.902
1,Gpr83,1.3336399281523832e-8,3.506939555069507e-4,1.6782946081250358,0.886,0.663
1,Ube2l6,1.4881929047087815e-8,3.913352062222212e-4,0.8545421969830178,1,0.992
1,Kcnk9,1.5546549836342814e-8,4.0881207449647067e-4,2.413160374877031,0.8,0.565
1,Trpv1,1.885276897724005e-8,4.957524130255043e-4,1.097826499353184,1,0.902
1,Psip1,1.956642233890058e-8,5.145186418237296e-4,0.5154197006761896,1,0.992
1,Trpa1,2.3646940857631484e-8,6.218199567922775e-4,1.3245880853334313,0.971,0.841
1,Nsg1,2.427985436564168e-8,6.384630503989136e-4,1.2184946831283998,1,0.951
1,Nap1l1,3.140506812350406e-8,8.258276713756628e-4,0.5692084072539583,1,1
1,Pld5,4.075914854949722e-8,0.001071802570257579,0.9087854113342457,1,0.951
1,Runx1,4.8936184765724066e-8,0.00128682591459948,0.853248507838078,1,0.959
1,Nol3,4.937321177326075e-8,0.0012983179767896648,0.5332861538685147,1,0.992
1,Gabrd,5.405113086191495e-8,0.0014213285371449157,1.5156750692473961,0.914,0.63
1,Avpr1a,6.216188318943964e-8,0.001634608880349505,1.4921127596099844,1,0.724
1,Tmem255a,6.818214421331409e-8,0.0017929176642333075,0.8680609130901908,1,0.967
1,Map1lc3a,7.82574512755891e-8,0.002057857938742891,0.5668379624581856,1,1
1,Ndst1,7.827966660006426e-8,0.0020584421129152897,0.8037176853950978,1,0.988
1,Chrna3,9.196780907924315e-8,0.002418385507547778,1.626818364163392,0.829,0.5
1,Psat1,9.333256654638246e-8,0.002454273169903673,0.6380246063889086,1,0.992
1,Rit2,9.875839248551293e-8,0.002596950688799048,0.7755069618611463,1,0.988
1,Gan,1.1613606438582544e-7,0.0030539139490896655,0.7762669032154408,1,0.976
1,Fads1,1.1749175362257031e-7,0.003089563153259109,0.6481765269386965,1,0.976
1,Smad1,1.371330666802503e-7,0.0036060511214238617,0.7935698536185178,1,0.996
1,Sphkap,1.4342434536179406e-7,0.003771486585633737,1.399825443593131,0.971,0.817
1,Btg3,1.4524803473755716e-7,0.0038194423214588033,0.8620439968348297,1,0.935
1,Emp3,1.8562154112601558e-7,0.0048811040454497055,1.0320292049820727,1,0.927
1,Scn2b,1.9164868358500816e-7,0.005039593783551375,1.249951517796668,1,0.927
1,Kif13b,2.065312943553129e-7,0.005430946916367308,1.0430915528838174,1,0.955
1,Ugcg,2.1738052216943636e-7,0.005716238210967499,0.5790514018005934,1,0.992
1,Pde9a,2.1797289477133772e-7,0.005731815240907097,1.6173924860991418,0.857,0.545
1,Pcbd1,2.3389670806588722e-7,0.00615054783530057,0.7528163337426408,1,0.894
1,Slc2a3,2.567043050701803e-7,0.006750296406125461,0.8732550118645763,1,0.98
1,Cald1,2.7632951065469163e-7,0.0072663608121757714,0.19435295370816874,1,0.813
1,Agap1,3.4566590096467206e-7,0.009089630531767017,1.2640334004235214,1,0.972
